,,,,,,,,,,SIM 1,SIM 1,SIM 2,SIM 2,,
Roll No.,Names,Location Name,Coordinates,Mobile Company,Model id Number,Network Provider(SIM1),Network Provider(SIM2),Processor,RAM,dB Level,asu,db Level,asu,Uplink Frequency,Downlink Frequency
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-83,37,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-101,51,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-106,52,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-90,51,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-84,38,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-100,36,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-108,34,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-91,49,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-98,34,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-101,41,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-91,50,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-101,40,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-84,44,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-101,49,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-83,33,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-96,38,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-93,36,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-95,37,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-105,34,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
63,Vivek Singh Kaira,College Gate,29.11'2''N / 79.44'15''E,Apple,MGHN3J/A,JIO,N/A,A14 BIONIC CHIP,4 GB,-98,40,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-102,37,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-109,54,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-108,30,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-88,41,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-80,48,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-81,36,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-107,42,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-105,57,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-108,50,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-95,57,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-94,38,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-104,34,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-85,31,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-90,46,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-89,54,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-104,32,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-98,40,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-86,34,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-104,51,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-88,47,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-108,50,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-92,50,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-87,44,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-103,44,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-93,37,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-92,32,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-87,49,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-107,45,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
64,Yagya Kulora,College Gate,29.11'2''N / 79.44'15''E,Samsung,S20FE 5G,JIO,N/A,OCTA-CORE,8 GB,-97,46,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-83,39,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-101,55,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-89,60,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-109,34,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-105,43,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-89,58,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-101,50,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-107,58,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-85,42,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-93,53,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-98,44,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-88,33,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-83,36,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-80,53,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-97,33,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-85,55,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-93,30,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-100,30,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-86,33,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-85,40,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-83,36,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-84,51,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-97,43,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-83,45,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-100,39,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-90,34,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-98,51,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-96,47,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
65,Yash Bharadwaj,College Gate,29.11'2''N / 79.44'15''E,Apple,MLPF3HN/A,AIRTEL,N/A,BIONIC CHIP,4 GB,-107,42,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-103,46,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-82,46,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-91,59,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-92,43,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-109,46,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-105,38,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-89,47,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-107,48,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-103,52,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-103,59,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-108,31,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-98,46,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-87,42,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-103,51,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-97,43,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-104,44,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-87,51,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-104,51,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-100,48,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-95,38,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-102,49,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-110,41,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-95,40,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-91,33,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-96,32,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-100,51,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-108,38,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-86,39,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
66,Yashank Sharma,College Gate,29.11'2''N / 79.44'15''E,Apple,MLPG3HN/A,AIRTEL,N/A,BIONIC CHIP,4 GB,-87,47,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-85,57,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-102,49,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-105,43,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-106,54,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-86,42,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-82,60,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-81,45,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-88,51,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-108,36,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-94,57,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-80,54,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-92,40,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-109,55,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-107,39,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-84,54,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-109,44,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-88,55,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-89,59,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-103,59,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-102,48,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-101,43,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-81,50,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-95,53,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-106,46,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-101,48,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-99,59,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-104,51,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-91,35,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
1,AMASH ANSARI,College Gate,29.11'2''N / 79.44'15''E,OPPO,CPH 202145,VI,N/A,OCTACORE ,6 GB,-84,37,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-83,41,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-90,38,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-90,37,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-86,40,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-83,59,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-87,60,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-94,38,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-98,31,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-98,35,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-97,60,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-98,46,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-104,59,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-87,46,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-107,50,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-89,35,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-84,53,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-89,47,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-87,31,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-100,37,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-105,33,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-109,56,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-107,54,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-84,35,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-97,39,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-109,56,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-108,39,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-108,42,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-102,42,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
2,DIGVIJAY SHAHI,College Gate,29.11'2''N / 79.44'15''E,SAMSUNG,SM-E236B/DS,JIO,N/A,SNAP DRAGON 750,6 GB,-92,54,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-99,33,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-87,39,,,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-86,41,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-109,51,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-109,52,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-91,43,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-108,34,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-81,35,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-85,40,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-89,53,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-100,38,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-97,56,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-96,48,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-109,53,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-100,32,,,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-108,56,,,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-85,47,,,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-103,48,,,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-103,49,,,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-101,47,,,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-93,60,,,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-90,42,,,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-102,36,,,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-80,41,,,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-105,44,,,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-86,39,,,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-83,30,,,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-84,43,,,7700kbps,2600kbps
,,,,,,,,,,,,,,,
3,Nirmal Pandey,College Gate,29.11'2''N / 79.44'15''E,RealmeC21,RMX 3201,JIO,IDEA,OCTA-CORE,4 GB,-84,41,-107,31,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-87,40,-89,42,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-98,35,-95,48,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-85,45,-85,33,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-103,36,-107,39,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-103,31,-88,60,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-99,36,-97,37,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-86,40,-80,38,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-101,30,-108,41,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-80,40,-82,55,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-92,47,-89,54,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-88,51,-92,41,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-85,46,-104,52,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-99,44,-108,39,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-106,36,-96,37,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-89,33,-90,34,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-101,60,-107,55,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-84,47,-99,34,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-93,54,-105,46,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-107,60,-104,45,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-89,44,-96,40,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-80,41,-96,43,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-107,31,-104,40,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-110,51,-89,40,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-84,52,-87,59,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-102,46,-88,53,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-82,50,-94,30,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-97,31,-106,36,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-110,59,-84,30,7700kbps,2600kbps
,,,,,,,,,,,,,,,
4,PANKAJ JOSHI,College Gate,29.11'2''N / 79.44'15''E,REALME 5I,REM-6012F125,JIO,AIRTEL,SNAP DRAGON 665,4 GB,-103,47,-82,44,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,,,,,,,-99,50,-100,44,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,,,,,,,-80,51,-110,59,7700kbps,2600kbps
,,Tikonia ,29.21'2''N / 79.13'18''E,,,,,,,-88,37,-102,56,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,,,,,,,-81,45,-86,35,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,,,,,,,-92,40,-108,60,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,,,,,,,-104,41,-107,44,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,,,,,,,-88,42,-102,56,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,,,,,,,-91,39,-107,31,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,,,,,,,-93,31,-92,32,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,,,,,,,-109,47,-99,31,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,,,,,,,-98,35,-88,53,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,,,,,,,-103,43,-93,59,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,,,,,,,-97,53,-81,40,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,,,,,,,-98,56,-108,30,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,,,,,,,-86,44,-94,56,7700kbps,2600kbps
,,Jal Sanstan,29.20'11''N / 79.33'34''E,,,,,,,-95,33,-80,30,7700kbps,2600kbps
,,Nelesh Inn,29.20'22''N / 79.33'26''E,,,,,,,-93,43,-90,43,7700kbps,2600kbps
,,Sojaun Wild Lake,29.20'23''N / 79.33'27''E,,,,,,,-85,48,-102,49,7700kbps,2600kbps
,,Monali Inn resort,29.20'25''N / 79.33'30''E,,,,,,,-110,41,-106,52,7700kbps,2600kbps
,,Starting Point Of Dart,29.20'22''N / 79.33'26''E,,,,,,,-81,50,-97,55,7700kbps,2600kbps
,,Bhimshaw Mahadev Temple,29.20'22''N / 79.33'26''E,,,,,,,-96,37,-94,43,7700kbps,2600kbps
,,Aquarium,29.20'22''N / 79.33'26''E,,,,,,,-108,46,-87,37,7700kbps,2600kbps
,,End Point Of dart,29.20'22''N / 79.33'26''E,,,,,,,-96,55,-91,51,7700kbps,2600kbps
,,Lake Hill,29.20'21''N / 79.33'40''E,,,,,,,-100,50,-105,36,7700kbps,2600kbps
,,Kalika Bazar,29.20'22''N / 79.33'26''E,,,,,,,-94,38,-102,39,7700kbps,2600kbps
,,Kethalai Devi,29.20'22''N / 79.33'26''E,,,,,,,-103,52,-94,41,7700kbps,2600kbps
,,Mid View Place,29.28'21''N / 79.30'40''E,,,,,,,-96,58,-107,37,7700kbps,2600kbps
,,Mount Aluen School,29.20'22''N / 79.33'26''E,,,,,,,-87,53,-98,31,7700kbps,2600kbps
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
